Brewery,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Napa Smith Brewery,5,2,1,15,0,2,7,2,6,0,0,9,4,3,5,48,15,6,5,10,0,4,14,3,0,0,0,2,13,0,4,4,5,0,2,0,5,25,1,3,4,0,0,5,8,0,8,8,6,1,2
North by Northwest Restaurant &amp; Brewery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High Water Brewing,4,0,0,0,0,1,2,2,0,0,1,2,1,2,1,79,0,2,0,4,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,4,3,0,0,0,2,0,0,3,1,0,0
Wormtown Brewing Co.,0,0,1,1,0,4,1,0,0,0,0,4,3,0,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,8,0,0,0,3,0,1,77,1,1,0,0,0,0
Thirsty Dog Brewing Company,9,3,4,7,0,8,5,0,54,0,1,43,16,1,7,11,9,4,1,235,0,37,23,11,0,4,0,0,2,2,5,105,31,1,0,0,2,26,27,7,2,1,13,12,39,2,8,5,52,0,0
Minneapolis Town Hall Brewery,9,16,0,13,0,6,6,0,7,0,4,16,4,1,8,67,9,12,1,19,0,9,1,9,0,3,0,0,8,1,1,58,29,0,1,1,0,67,14,15,4,1,0,12,17,0,11,230,7,1,1
AleSmith Brewing Company,48,18,3,25,0,7,31,1,11,0,1,96,6,6,13,345,16,11,3,36,2,9,11,10,0,3,0,0,19,1,3,116,33,0,7,1,17,71,12,8,12,2,14,17,107,0,8,10,23,5,1
Mission Brewery,1,6,0,4,0,7,26,0,6,0,2,24,3,2,14,109,4,9,0,13,1,3,1,0,0,1,0,0,2,0,1,69,26,0,2,0,2,4,1,2,15,1,0,4,11,0,0,2,1,1,0
Ninkasi Brewing Company,160,9,0,5,0,3,8,0,10,0,1,16,1,3,18,172,10,6,1,13,4,6,2,122,0,3,0,0,12,3,5,26,10,2,6,0,2,23,9,2,13,20,1,10,22,3,5,11,6,14,0
Live Oak Brewing Company,8,3,0,3,0,1,5,0,11,0,0,14,0,0,4,19,7,4,6,13,0,3,1,1,0,1,0,0,172,3,3,12,10,1,0,0,1,16,3,0,1,0,0,6,10,0,3,3,1,1,0
Spiteful Brewing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0
Karl Strauss Brewing Company,14,2,1,2,1,6,9,2,7,0,0,8,0,7,7,343,5,4,2,7,0,5,0,7,0,0,0,2,9,2,2,17,8,0,1,1,0,13,3,13,5,1,1,4,21,3,4,6,5,0,0
Rock Art Brewery,14,8,2,6,0,87,137,0,18,0,2,112,24,2,14,21,18,82,1,18,1,11,2,17,0,3,0,0,3,3,1,157,19,2,2,1,101,19,6,2,21,0,44,44,227,7,4,5,5,0,0
Baxter Brewing Co.,1,0,0,1,0,15,2,0,3,0,1,11,7,0,2,8,3,11,0,1,0,2,1,0,0,3,0,0,0,1,1,12,3,1,2,0,3,4,1,0,0,0,51,6,112,2,0,0,2,0,0
Port City Brewing,1,5,0,5,0,0,5,0,19,0,0,14,0,0,1,10,1,1,0,5,3,3,0,1,0,2,0,1,5,0,0,14,89,0,1,0,1,4,0,0,0,0,1,43,9,0,1,8,0,1,0
French Broad Brewing Co.,2,3,2,23,0,1,7,0,85,0,0,14,2,0,6,10,48,6,5,26,1,40,12,3,0,2,0,1,14,1,19,24,19,0,10,0,1,15,3,3,2,0,1,5,18,4,6,9,1,0,2
Kona Brewing Co.,16,8,3,26,0,3,29,3,10,0,2,38,3,1,18,74,10,6,4,28,0,10,2,10,0,4,0,8,21,2,5,64,14,2,4,0,0,36,11,0,7,2,3,12,15,1,11,23,4,7,2
Bison Brewing,13,0,0,29,0,3,5,0,34,0,1,11,2,1,2,75,12,2,5,24,0,6,8,14,0,0,0,2,4,2,4,19,20,0,5,0,0,11,6,4,17,7,0,2,2,1,2,3,3,1,0
Granite City Food &amp; Brewery,0,9,0,1,0,0,7,0,1,0,10,1,0,0,5,6,2,2,0,7,2,0,0,1,1,0,0,0,8,0,0,13,5,1,0,0,0,18,9,16,0,0,0,0,5,0,17,35,0,0,0
Coop Ale Works,2,0,0,1,2,0,2,0,0,0,0,7,0,0,1,6,2,3,64,7,0,1,1,3,0,0,0,0,9,3,3,7,2,0,1,3,2,7,0,0,1,0,0,2,2,0,2,3,1,0,0
Peace Tree Brewing Co.,4,2,0,1,0,0,0,0,1,1,6,1,2,0,5,2,0,2,0,2,3,5,1,2,0,2,0,0,5,0,1,4,3,2,2,0,0,21,5,61,0,0,0,1,4,0,8,10,0,0,0
Papago Brewing,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,1,0,0,0
New England Brewing Co.,16,1,0,16,4,12,28,0,12,0,0,70,21,1,13,41,6,190,1,11,0,5,2,2,0,2,0,0,7,3,3,49,15,0,0,0,5,33,11,2,3,1,8,7,109,1,4,9,11,1,0
Fordham Brewing Company,4,4,2,6,0,1,12,0,4,0,1,12,1,0,6,6,9,3,0,1,1,1,3,3,0,6,0,0,4,1,0,52,20,0,0,0,0,4,5,0,1,0,4,43,3,0,0,2,6,0,0
Sprecher Brewing Company,12,292,0,46,1,11,19,1,35,0,12,50,4,9,22,82,20,18,8,52,7,9,10,7,0,0,0,0,21,3,25,146,20,0,13,1,1,212,28,56,8,1,5,13,41,5,17,159,25,0,1
Otter Creek Brewing / Wolaver's,11,7,4,16,0,46,91,1,30,0,2,144,19,2,9,19,4,67,1,52,1,3,3,10,0,1,0,0,11,2,0,187,47,0,1,0,20,14,1,2,3,1,17,30,128,0,5,5,4,4,0
Thunderhead Brewing Company,0,0,0,1,0,0,0,0,0,0,6,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Argus Brewery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,0,0,1,0,0,0,0,0,0,0,0
"Lakefront Brewery, Inc.",19,332,8,64,0,20,113,1,28,0,10,80,9,15,39,87,44,12,21,67,8,23,18,22,2,1,0,0,28,0,17,155,23,0,15,2,3,184,29,50,13,5,14,26,60,6,36,120,48,7,1
Lancaster Brewing Company,4,8,2,9,0,0,59,1,15,0,0,31,2,0,4,10,2,8,1,12,2,2,6,1,0,3,0,0,4,2,0,299,38,0,0,2,1,8,5,3,2,1,3,39,28,2,0,4,2,4,0
Back Forty Beer Co.,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,8,1,0,3,0,3,1,0,0,0,0,0,1,3,2,1,0,0,18,0,0,3,1,0,1,0,2,1,0,0,0,0,0,0,3
Lift Bridge Brewery,6,12,0,2,0,0,1,1,2,0,0,6,0,0,1,9,2,5,1,1,0,3,0,1,0,2,0,0,4,0,0,14,8,0,0,0,0,16,2,4,0,3,1,7,3,0,6,190,4,0,0
Hermitage Brewing,0,0,0,1,0,2,0,0,0,0,0,1,0,2,1,50,0,1,0,4,0,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,1,3,0,0,0,1,0,3,0,0,0,0
Hale's Ales Brewery &amp; Pub,146,8,0,7,2,9,5,1,18,0,1,10,1,3,16,44,7,4,9,12,3,2,5,65,0,0,0,1,7,4,1,18,23,0,0,2,0,15,2,9,17,14,0,4,9,4,6,16,1,2,0
Purity Brewing Co,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
RJ Rockers Brewing Company,11,3,3,21,0,6,21,0,68,0,0,34,4,1,5,20,43,18,5,30,1,105,4,4,0,6,0,0,10,6,18,62,47,0,3,0,1,18,7,11,1,0,2,26,24,0,21,18,6,1,5
Nebraska Brewing Company,1,3,0,1,0,0,0,0,0,0,4,8,0,1,4,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,13,1,0,0,0,0,2,0,0,0,0,0,2,1,0,3,2,0,0,0
Red Oak Brewery,1,1,1,3,0,0,2,0,53,0,0,3,0,0,0,1,1,3,1,4,0,2,0,1,0,0,0,0,2,1,0,3,8,0,0,0,0,3,0,0,0,0,0,1,1,0,1,0,2,0,0
Lawson's Finest Liquids,20,4,0,12,0,51,36,1,5,0,0,54,13,3,8,69,8,31,0,15,0,8,0,7,0,6,0,0,6,6,2,87,20,0,0,0,64,58,16,0,2,0,14,23,89,1,1,11,2,0,1
Jack's Abby Brewing,3,1,0,1,0,25,6,0,3,0,0,21,21,1,3,27,1,24,0,6,0,8,1,2,0,8,0,0,1,0,3,13,4,1,0,0,3,24,7,0,4,3,9,8,349,2,0,0,1,0,0
Sudwerk Restaurant and Brewery,0,3,0,0,0,0,0,0,4,0,0,6,0,0,3,96,0,0,3,2,0,0,0,2,0,0,0,2,2,0,0,13,1,0,0,3,0,0,0,4,12,0,0,0,2,0,1,1,0,0,0
Harriet Brewing,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,19,0,0,0
Clown Shoes,16,19,1,55,0,17,50,1,40,0,0,68,10,17,24,69,62,33,10,11,0,12,2,5,0,15,0,1,85,14,5,92,23,0,7,2,7,73,11,4,15,5,32,17,134,3,1,56,5,1,6
Lucid Brewing,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,19,0,0,0
Butte Creek Brewing Company,12,5,0,12,0,2,11,3,10,0,0,21,1,2,3,54,13,3,1,8,0,13,4,10,0,2,0,1,7,4,2,20,5,0,2,0,5,7,0,4,5,4,2,1,11,0,7,7,8,0,2
Thomas Creek Brewery,6,1,0,25,0,2,17,0,94,0,9,16,2,0,3,9,61,6,3,26,1,81,12,0,0,1,0,0,8,1,10,37,12,0,12,0,1,21,18,19,1,0,4,2,19,3,2,7,5,0,4
Kane Brewing Company,0,0,0,0,0,0,33,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
The Bruery,77,21,9,69,0,28,98,2,42,0,1,172,9,19,62,567,46,39,11,72,1,22,14,25,0,23,0,3,40,3,9,168,66,0,10,0,6,183,62,20,32,4,5,63,120,0,21,33,24,5,7
Thomas Hooker Brewing Company,10,9,2,44,2,21,69,0,20,0,2,85,33,1,12,39,34,212,2,27,1,9,6,3,1,2,0,1,3,2,8,99,23,2,6,1,2,25,7,5,8,1,18,16,151,6,7,6,8,1,0
Elevator Brewery &amp; Draught Haus,2,0,1,2,0,0,0,0,1,0,0,4,0,1,0,4,1,0,0,75,0,4,3,3,0,0,0,1,1,0,0,16,6,0,1,0,1,2,2,1,0,1,3,0,3,0,0,2,2,0,0
Southern Star Brewing Company,9,2,1,6,1,4,5,2,2,0,0,19,2,2,4,19,7,6,3,20,0,4,4,6,0,3,0,0,114,17,3,15,4,0,11,0,0,24,11,2,2,3,1,3,17,2,2,8,4,4,1
Pennsylvania Brewing Company,6,12,13,27,0,5,28,0,37,0,1,54,7,0,21,10,16,11,1,96,0,8,9,2,0,1,0,0,10,0,0,320,59,1,0,0,1,14,9,5,3,0,7,16,43,2,1,5,8,3,0
Real Ale Brewing Company,25,12,0,12,0,4,17,3,11,0,0,45,1,0,21,61,17,8,18,34,5,14,2,20,3,5,0,0,477,29,6,45,20,1,1,1,2,48,17,1,4,4,1,11,36,0,11,22,9,2,0
Saint Arnold Brewing Company,18,6,1,12,1,11,14,4,19,1,1,42,8,3,30,54,29,5,19,31,2,14,6,12,0,6,0,0,595,74,12,48,23,1,7,2,3,57,11,7,9,4,7,16,41,4,12,11,9,5,9
Laurelwood Pizza Co. (CLOSED),13,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,1,0,1,0,0,0,0,13,0,0,0,0,1,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Evil Twin Brewing,29,6,0,34,0,10,16,2,25,0,0,65,1,5,3,88,38,19,0,35,0,29,16,9,0,3,0,0,7,7,2,61,29,0,11,0,7,62,10,7,4,4,19,29,31,0,11,3,6,1,6
West Sixth Brewing Company,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,14,0,0,1,0,0,0,0,1,3,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0
4 Hands Brewing Co.,1,0,0,3,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,1,0,0,0
Barley John's Brew Pub,0,2,0,2,0,1,0,0,0,0,1,4,0,0,2,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,4,0,1,3,0,0,1,0,0,1,27,1,0,0
Oxbow Brewing Company,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,11,2,4,0,0,1,0,0,0
Cigar City Brewing,44,27,4,473,2,22,58,2,51,0,2,140,10,1,26,124,36,34,4,67,1,41,30,6,0,14,0,1,38,3,26,169,72,0,22,0,12,170,48,2,12,1,9,54,96,2,17,57,29,3,7
Urban Chestnut Brewing Company,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,5,0,0,0,0,0,3,4,0,0,0,0,0,1,0,12,0,0,0,0
Dragonmead Microbrewery,3,7,0,7,0,2,3,0,13,0,6,7,1,1,2,3,5,6,1,21,2,3,3,3,0,3,0,0,4,0,0,14,3,0,1,2,0,33,4,6,1,0,0,3,9,0,3,16,116,3,0
New Old Lompoc Brewery,22,1,0,1,0,1,3,0,4,0,0,2,0,1,1,10,5,0,0,5,0,2,2,38,0,0,0,0,1,0,0,8,0,0,0,0,2,2,0,2,0,1,0,2,5,2,0,1,1,2,0
Element Brewing Company,1,0,0,2,0,5,1,0,3,0,0,8,4,1,0,6,2,18,0,2,0,1,0,0,0,1,0,0,0,1,3,7,0,0,0,0,4,8,0,1,0,0,1,3,75,0,0,1,0,0,0
Cottrell Brewing Co.,0,0,2,4,0,7,10,0,8,0,0,21,8,0,1,5,2,39,1,6,1,3,0,0,0,0,0,0,1,0,0,18,8,0,1,0,0,8,0,1,1,0,5,1,36,0,1,0,0,0,0
Telegraph Brewing Company,4,2,0,3,0,3,3,0,4,0,0,4,1,1,4,140,6,1,1,6,0,6,0,1,0,0,0,0,4,1,2,14,2,0,2,0,0,6,1,4,5,0,1,2,9,0,1,3,0,1,0
Valley Brewing Company,0,0,0,1,0,3,4,0,1,0,0,6,0,1,2,54,4,2,0,2,0,1,1,1,0,0,0,0,3,1,0,7,2,0,0,0,0,3,1,0,2,0,1,4,2,0,1,1,1,0,0
Fitger's Brewhouse,2,3,0,0,0,0,0,0,0,0,0,1,4,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,2,0,0,0,0,9,0,4,0,0,2,0,2,0,4,69,0,0,0
Upslope Brewing Company,1,1,0,0,2,0,1,0,2,0,0,1,2,0,103,16,2,1,6,1,3,0,2,2,0,0,0,0,5,0,0,11,1,0,0,0,4,6,1,0,1,0,0,3,9,0,6,2,1,1,0
Red Hare Brewing Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DuClaw Brewing Company,2,2,4,28,0,5,34,1,9,0,0,20,0,0,2,14,8,8,1,14,1,6,1,8,0,15,0,0,4,0,7,209,100,0,0,2,0,22,6,0,3,2,1,203,15,0,1,8,7,1,0
Moylan's Brewery,17,16,1,12,2,3,22,4,41,0,4,21,6,15,25,233,49,8,15,30,5,21,3,20,0,1,0,0,78,21,11,66,35,0,13,4,7,51,14,13,27,1,7,11,34,1,30,39,30,6,1
Intuition Ale Works,1,0,1,9,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three Heads Brewing,2,2,0,0,0,7,11,0,8,0,0,121,2,0,8,13,0,2,1,5,0,1,3,0,0,1,0,0,1,0,1,37,14,0,0,0,5,21,1,0,1,0,8,2,45,1,0,3,10,1,0
Kern River Brewing Company,9,6,0,11,1,4,7,1,7,0,0,25,1,3,2,180,1,4,3,18,0,3,2,2,0,2,0,0,7,1,1,21,12,0,2,0,0,44,16,7,6,1,5,8,15,1,6,8,6,3,0
Block 15 Brewery &amp; Restaurant,8,0,0,4,0,0,2,0,1,0,0,6,2,0,1,25,0,0,0,1,0,0,0,36,0,0,0,0,1,0,0,5,4,0,0,0,0,15,0,0,0,1,0,2,2,0,1,4,0,0,0
