Brewery,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Voodoo Brewing Company,8,3,0,14,0,5,56,0,16,0,0,64,2,2,12,37,5,14,2,48,1,1,8,6,0,7,0,0,8,3,3,326,20,0,2,0,3,44,12,2,3,2,3,17,21,2,4,18,16,6,0
Tyranena Brewing Company,20,257,1,17,1,3,29,2,17,0,2,41,9,6,23,79,28,16,11,85,1,18,19,11,0,5,0,0,31,9,5,74,29,2,1,0,2,274,132,34,13,4,4,17,39,8,17,196,15,2,5
Full Sail Brewery &amp; Tasting Room &amp; Pub,137,8,3,35,4,13,74,10,50,0,1,104,12,17,103,177,30,17,17,37,3,15,19,123,0,4,0,0,128,17,14,99,46,4,3,0,7,25,1,11,37,25,0,24,83,28,10,55,8,5,0
Hill Farmstead Brewery,48,18,0,48,0,134,57,2,27,0,0,240,15,4,31,200,13,66,0,36,0,41,3,14,0,20,0,1,15,6,14,331,77,0,1,0,95,225,98,7,8,2,50,98,391,1,14,44,10,0,0
Free State Brewing Co.,3,4,0,2,2,1,3,0,2,0,9,3,0,1,12,21,2,8,13,1,51,1,0,5,0,0,0,0,6,1,0,18,8,0,3,0,0,12,2,2,3,0,0,3,11,0,48,7,1,3,1
Weyerbacher Brewing Co.,22,35,8,84,0,14,199,1,38,0,7,149,7,0,14,52,52,51,3,107,3,37,13,8,0,20,0,0,26,2,8,447,85,1,8,2,5,78,37,7,6,4,33,77,116,1,13,60,24,14,4
Coronado Brewing Company,11,2,3,34,0,6,15,2,20,0,0,13,2,1,7,174,12,12,1,26,0,12,1,5,0,3,0,6,8,1,1,95,11,0,0,0,0,9,6,5,20,2,1,5,13,1,1,8,1,5,0
Foothills Brewing Company,18,8,3,20,0,5,31,0,277,0,0,42,4,1,10,59,41,21,3,31,1,104,10,4,0,10,0,0,16,1,17,75,57,0,5,0,6,56,19,4,4,3,6,24,30,0,12,27,8,3,2
Badger Hill Brewing Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0
Jester King Craft Brewery,25,11,0,6,0,5,14,1,11,0,2,22,3,1,8,76,3,6,8,10,0,15,10,0,0,20,0,0,266,9,1,21,10,0,2,1,4,39,17,0,2,1,0,6,21,0,1,8,3,1,9
