"Rating","Style","Name","Num Reviews","Locations","Link","Brewery","fruity (scaled)","heavy (scaled)","sweet (scaled)","dark (scaled)","light (scaled)","heady (scaled)","bitter (scaled)","sour (binary)","spiced (binary)","smokey (binary)","roasted (binary)","refreshing (binary)","Total Count"
"93","Weizenbock","Ramstein Winter Wheat","100","{'Iowa': 1, 'Oklahoma': 2, 'New Hampshire': 2, 'Minnesota': 1, 'Illinois': 2, 'Maryland': 1, 'Texas': 4, 'Ontario (Canada)': 1, 'Manitoba (Canada)': 1, 'Arizona': 1, 'Wisconsin': 2, 'Michigan': 1, 'Utah': 1, 'Virginia': 3, 'Connecticut': 3, 'California': 6, 'Massachusetts': 1, 'South Carolina': 1, 'Germany': 2, 'Georgia': 1, 'Pennsylvania': 15, 'Quebec (Canada)': 1, 'Kentucky': 1, 'Rhode Island': 2, 'Missouri': 2, 'Ohio': 4, 'Colorado': 2, 'New Jersey': 19, 'North Carolina': 2, 'New York': 13, 'Maine': 1}","http://beeradvocate.com/beer/profile/607/2743/?sort=topr","High Point Brewing Company","155","86","286","301","88","225","38","47","110","30","125","51","1542"
"90","Weizenbock","Great Lakes Glockenspiel Weizenbock","100","{'Mississippi': 1, 'Iowa': 2, 'Oklahoma': 1, 'Minnesota': 3, 'Illinois': 11, 'Indiana': 1, 'Maryland': 1, 'Louisiana': 1, 'Texas': 2, 'Ontario (Canada)': 3, 'Australia': 1, 'Wisconsin': 3, 'Michigan': 6, 'Virginia': 4, 'Connecticut': 3, 'District of Columbia': 1, 'Germany': 1, 'Massachusetts': 2, 'South Carolina': 3, 'New Hampshire': 1, 'Georgia': 2, 'Pennsylvania': 10, 'Florida': 1, 'Alaska': 2, 'Kentucky': 3, 'Nebraska': 1, 'Ohio': 18, 'Colorado': 2, 'New Jersey': 2, 'North Carolina': 1, 'New York': 6, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/73/19796/?sort=topr","Great Lakes Brewing Company","277","75","370","124","155","203","52","25","142","3","23","64","1513"
"91","Weizenbock","Schneider Weisse Tap X Mein Nelson Sauvin","83","{'Brazil': 1, 'Illinois': 3, 'Netherlands': 1, 'Maryland': 3, 'Ontario (Canada)': 16, 'Australia': 6, 'Wisconsin': 1, 'Virginia': 3, 'Oregon': 1, 'Connecticut': 1, 'District of Columbia': 1, 'California': 10, 'Massachusetts': 1, 'Germany': 1, 'Georgia': 2, 'Pennsylvania': 6, 'Quebec (Canada)': 1, 'Florida': 3, 'Kentucky': 1, 'Rhode Island': 1, 'Sweden': 2, 'Arizona': 1, 'Ohio': 2, 'Colorado': 1, 'New Jersey': 5, 'United Arab Emirates': 1, 'Washington': 1, 'North Carolina': 2, 'New York': 3, 'United Kingdom (England)': 1, 'Maine': 1}","http://beeradvocate.com/beer/profile/72/74625/?sort=topr","Weisses Bräuhaus G. Schneider &amp; Sohn GmbH","358","53","183","34","244","195","196","34","103","4","31","50","1485"
"94","Weizenbock","Live Oak Primus Weizenbock","47","{'Georgia': 4, 'Pennsylvania': 1, 'Saskatchewan (Canada)': 1, 'Oklahoma': 1, 'North Carolina': 1, 'New York': 2, 'California': 5, 'Massachusetts': 1, 'Ohio': 1, 'Alberta (Canada)': 1, 'Texas': 29}","http://beeradvocate.com/beer/profile/383/46105/?sort=topr","Live Oak Brewing Company","98","34","105","92","36","81","11","8","63","26","27","22","603"
"87","Weizenbock","Der Weisse Bock","99","{'Iowa': 1, 'Minnesota': 6, 'Illinois': 2, 'Netherlands': 1, 'Maryland': 1, 'Louisiana': 2, 'Idaho': 1, 'Ontario (Canada)': 6, 'Arizona': 2, 'Wisconsin': 2, 'Michigan': 2, 'Oregon': 2, 'Connecticut': 3, 'Tennessee': 1, 'New Hampshire': 4, 'Massachusetts': 8, 'South Carolina': 2, 'California': 4, 'Germany': 2, 'Georgia': 4, 'Pennsylvania': 9, 'Quebec (Canada)': 1, 'Kentucky': 2, 'Nebraska': 2, 'Missouri': 3, 'Ohio': 5, 'Colorado': 6, 'Mexico': 1, 'New Jersey': 2, 'North Carolina': 2, 'New York': 5, 'Texas': 2, 'United Kingdom (England)': 2, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/428/1307/?sort=topr","Mahrs-Bräu","160","79","326","190","111","202","50","55","72","24","92","41","1402"
"75","Weizenbock","TNT","72","{'Oklahoma': 1, 'Minnesota': 1, 'Illinois': 6, 'New Mexico': 1, 'Indiana': 1, 'Maryland': 1, 'Texas': 9, 'Ontario (Canada)': 1, 'Wisconsin': 2, 'Michigan': 1, 'Virginia': 2, 'Oregon': 2, 'District of Columbia': 1, 'California': 2, 'Massachusetts': 5, 'South Carolina': 1, 'Vermont': 1, 'Georgia': 4, 'Pennsylvania': 1, 'Florida': 4, 'Missouri': 3, 'Ohio': 5, 'Alabama': 1, 'New York': 4, 'Colorado': 3, 'Mexico': 1, 'New Jersey': 2, 'Washington': 1, 'North Carolina': 3, 'Tennessee': 2}","http://beeradvocate.com/beer/profile/418/67253/?sort=topr","Left Hand Brewing Company","53","49","165","207","69","121","38","17","22","312","54","17","1124"
"87","Weizenbock","Plank Bavarian Heller Weizenbock","89","{'Mississippi': 1, 'Iowa': 1, 'Oklahoma': 1, 'Wyoming': 1, 'Minnesota': 5, 'Illinois': 5, 'Texas': 2, 'Ontario (Canada)': 1, 'Arizona': 2, 'Wisconsin': 3, 'Michigan': 10, 'Oregon': 1, 'Connecticut': 1, 'New York': 5, 'California': 1, 'Massachusetts': 6, 'South Carolina': 5, 'Germany': 2, 'Georgia': 2, 'Poland': 1, 'Florida': 1, 'Kentucky': 2, 'Nebraska': 2, 'Ohio': 3, 'Colorado': 8, 'New Jersey': 6, 'Washington': 1, 'North Carolina': 7, 'Tennessee': 1, 'Maine': 2}","http://beeradvocate.com/beer/profile/5943/36326/?sort=topr","Brauerei Michael Plank","244","74","232","45","219","256","61","42","118","6","34","87","1418"
"87","Weizenbock","Plank Bavarian Dunkler Weizenbock","87","{'Mississippi': 1, 'Oklahoma': 1, 'Minnesota': 7, 'Illinois': 2, 'Georgia': 2, 'Ohio': 5, 'Maryland': 1, 'Texas': 3, 'Ontario (Canada)': 1, 'Arizona': 1, 'Wisconsin': 1, 'Michigan': 10, 'Kansas': 1, 'California': 2, 'Massachusetts': 7, 'South Carolina': 3, 'New Hampshire': 1, 'Germany': 2, 'Netherlands': 1, 'Pennsylvania': 4, 'Florida': 2, 'Kentucky': 3, 'Missouri': 1, 'Iowa': 3, 'Colorado': 7, 'New Jersey': 5, 'Saskatchewan (Canada)': 1, 'North Carolina': 5, 'New York': 4}","http://beeradvocate.com/beer/profile/5943/36170/?sort=topr","Brauerei Michael Plank","180","74","296","196","114","243","53","44","85","15","84","42","1426"
"84","Weizenbock","Eisenbahn Vigorosa (Weizenbock)","87","{'Brazil': 3, 'Mississippi': 3, 'Oklahoma': 2, 'New Hampshire': 1, 'Minnesota': 3, 'Illinois': 6, 'Louisiana': 5, 'Texas': 1, 'Ontario (Canada)': 3, 'Australia': 3, 'Iowa': 4, 'France': 1, 'Virginia': 1, 'Oregon': 2, 'Connecticut': 1, 'Tennessee': 1, 'Germany': 1, 'California': 7, 'Wisconsin': 3, 'Georgia': 1, 'Pennsylvania': 3, 'Florida': 1, 'Alaska': 1, 'Nebraska': 2, 'Hawaii': 1, 'Arizona': 1, 'Missouri': 3, 'Switzerland': 1, 'Ohio': 7, 'Rhode Island': 1, 'Colorado': 1, 'Mexico': 1, 'New Jersey': 3, 'Washington': 1, 'North Carolina': 4, 'New York': 2, 'Maine': 2}","http://beeradvocate.com/beer/profile/10096/19608/?sort=topr","Cervejaria Sudbrack Ltda","178","66","284","138","114","173","44","12","95","9","55","41","1209"
"81","Weizenbock","10 Degrees Below","43","{'Arizona': 2, 'Wisconsin': 2, 'Pennsylvania': 3, 'Florida': 4, 'Washington': 11, 'Virginia': 4, 'North Carolina': 2, 'Illinois': 1, 'District of Columbia': 1, 'California': 5, 'Oregon': 3, 'Missouri': 1, 'Maryland': 1, 'New York': 1, 'Maine': 1, 'British Columbia (Canada)': 1}","http://beeradvocate.com/beer/profile/1397/33809/?sort=topr","Scuttlebutt Brewing Company","47","31","122","97","61","83","41","20","14","10","62","16","604"
